word,phonotactic_probability,log_phonotactic_probability
detail.com,8.728395271565084e-51,-115.2652582074315
detail.uk,9.147804521991099e-49,-110.61315564916352
detail.net,3.2407960836803695e-51,-116.25602073823296
detail.it,1.4137331750362545e-48,-110.17785061628376
detail.nl,8.788677084681643e-41,-92.23252461469693
detail.de,4.704862083816481e-49,-111.27807309678565
detail.xyz,1.1465121991148804e-44,-101.17701962816926
detail.au,7.38870479452184e-56,-126.94481275267847
detail.org,4.7613550487724445e-51,-115.87130744085313
detail.info,6.180843479951694e-62,-140.93882101804545
detail.io,7.38870479452184e-56,-126.94481275267847
detail.cn,7.1802995775711376e-40,-90.13206261367641
detail.jp,4.7810699971323897e-42,-95.14390953552449
detail.pl,1.538969292403807e-39,-89.3697057250641
alternik.com,3.809207506792533e-60,-136.81768441560638
mepia.com,2.4738989364858682e-48,-109.61828904082653
mepia.net,3.8327672523486776e-48,-109.18049740121822
mepia.io,1.2146295912812086e-50,-114.93481548253303
mepia.uk,1.5038080931186401e-43,-98.60315837901807
mepia.de,3.7418119937192693e-47,-106.90192938632197
mepia.pl,1.2713128009984347e-36,-82.65301327964315
mepia.org,7.827194207465232e-46,-103.86131017070768
gseri.com,1.408866755258236e-43,-98.66837333718472
canzu.com,1.1950588356894042e-41,-94.22779339369787
branki.com,9.803696337908832e-44,-99.03098459983734
branki.net,1.518869090476375e-43,-98.59319296022903
branki.de,1.4828248639807964e-42,-96.31462494533278
canzu.cn,9.830994342141856e-31,-69.09459779994276
branki.ru,1.0437134721731586e-42,-96.66578890589972
konfirm.com,2.5691887038512463e-46,-104.97532410809153
konfirm.de,7.075342313821693e-45,-101.65971335879416
konfirm.net,3.567337812160021e-46,-104.64709467099476
konfirm.nl,9.674221787951686e-36,-80.62359854745873
konfirm.io,1.190013921497232e-50,-114.9552896439101
konfirm.info,9.954775555779815e-57,-128.94929790927708
ioweng.com,2.0638428901232866e-53,-121.31244020308863
blreig.com,2.2343453890047485e-43,-98.20721070440494
cartsum.com,1.3133693353505603e-45,-103.34373333776257
baron21.xyz,3.2570005504301702e-55,-125.4613734193793
baron21.info,1.0183917943902208e-69,-158.860146705715
hanoise.com,3.538580012304495e-61,-139.1939651524315
choda.net,3.9011538015091156e-42,-95.34730154982748
choda.com,2.5180397360958625e-42,-95.78509318943581
choda.de,3.8085756641980315e-41,-93.06873353493123
choda.org,7.966851735881316e-40,-90.02811431931694
kaptus.com,2.173425373763728e-43,-98.23485456247896
kaptus.de,7.286518596191967e-44,-99.32771821860638
kaptus.fr,2.4903813323515816e-33,-75.07287222452975
kaptus.net,4.4781827477154895e-44,-99.81452676427458
revisun.com,5.1605333594045495e-55,-125.00114017629507
cmilner.net,6.032963116647748e-47,-106.42426108488078
ains24.de,2.7841534623452436e-56,-127.92082134374476
as192.com,3.0141856180205186e-56,-127.841435524083
as192.nl,1.2664040451524028e-45,-103.38014776093866
coldeh.com,6.366000789526486e-46,-104.06794282484383
baoyw.com,2.9599307080924214e-43,-97.92599314011024
baoyw.xyz,3.887996086082618e-37,-83.837754560848
baoyw.net,1.3757302677019818e-42,-96.38958921183382
baoyw.cn,2.4349480691133908e-32,-72.79279754635515
lesmitz.com,6.516335974222757e-48,-108.6497722128821
baoyu123.com,1.3224970403756453e-71,-163.20401995573064
baoyu123.cn,1.087934797279854e-60,-138.07082436197553
betagrid.com,2.2446662559623815e-56,-128.13620835856474
betagrid.net,4.7078000896545775e-56,-127.39554448101063
breativ.com,1.0418678177494033e-52,-119.69340975477307
chinma.com,1.1776036597171591e-44,-101.15026251497424
boldap.com,4.593259087821932e-44,-99.78915427870554
bistn.cn,8.321180617428143e-22,-48.53806789996971
albien.fr,1.7187182363769255e-40,-91.56182491815328
albien.de,1.0945738576807594e-49,-112.73630444025429
albien.com,9.354756553959865e-52,-117.49853989939648
albien.net,6.692366660585509e-53,-120.13604235617834
albien.info,5.544221714966524e-63,-143.35010460565985
albien.org,4.270939417847221e-52,-118.28259102846754
aintur.ru,2.8599481996096182e-52,-118.68362132304725
dantch.com,6.606851336012516e-38,-85.61012634196105
afrein.com,3.5128167963658804e-51,-116.17542152096725
bleta24.com,3.750098472649282e-58,-132.22815329464396
betford.xyz,3.242056987271308e-40,-90.92719571878935
betford.ru,2.3041109655028587e-44,-100.4790491879535
braxit.nl,1.7168604784459264e-34,-77.74739584209716
braxit.com,2.7368275393456867e-45,-102.60952976749338
braxit.ru,5.494330260013821e-43,-97.30744230002469
etinar.com,1.0411440556713623e-54,-124.29927485961055
aboe2.com,7.20400205993735e-56,-126.97012849440934
dtrian.xyz,4.6684081475075876e-36,-81.35224520198486
cartdn.com,1.1551072586584263e-36,-82.74887014348421
cowpig.net,1.1996860567415118e-45,-103.4342692815485
cowpig.de,2.8623242495084053e-45,-102.56469521528825
cowpig.com,1.3517325923189645e-47,-107.92011219940808
geflirt.nl,8.992547902594078e-35,-78.39408203126857
aerviz.com,1.0686763580627748e-52,-119.66800400153217
abdulmi.com,1.2820061658769276e-56,-128.69633903960326
abdulmi.org,4.056152451296413e-54,-122.9393601694844
foemar.de,9.66581576553468e-49,-110.55807404351927
aboger.com,1.0662273069349152e-53,-121.97288339214937
aboger.de,2.4415718888203757e-52,-118.84178278707412
aboger.cn,8.771178714282517e-43,-96.83968779839428
bardos.net,9.363504637538165e-44,-99.07692444424143
bardos.pl,1.3073707848613213e-31,-71.11211979685199
bardos.com,4.5444502185538615e-43,-97.49725224244581
bardos.xyz,5.969330503186569e-37,-83.40901366318357
bardos.fr,5.2071785517481835e-33,-74.33526990449658
bardos.de,1.5235499422563145e-43,-98.59011589857323
bardos.it,1.2131740752174483e-41,-94.21274868507916
bardos.ru,1.3335989850816141e-43,-98.72327770732639
bardos.io,6.340507009690063e-49,-110.97971082147387
altumer.com,5.409080898084581e-56,-127.25668601868934
colegs.com,2.8330349750702246e-44,-100.27239552537098
joandev.com,1.9260330956416436e-52,-119.07896233884752
brownt.com,5.413696134771457e-36,-81.20413128399586
brownt.cn,4.453505926368022e-25,-56.07093569024078
beoit.com,3.094641986474259e-46,-104.78924205308677
beoit.de,9.275111604924106e-46,-103.69157963642908
beoit.it,1.3397128323835015e-43,-98.71870371193899
anteli.de,9.454200047170389e-53,-119.79055083648115
anteli.it,5.871996882547399e-49,-111.0564747962975
anteli.cn,5.142010246317568e-43,-97.37371489723061
anteli.fr,1.1353040586756759e-42,-96.58167339758718
anteli.com,6.25064420160021e-54,-122.5069104909857
linature.com,1.2365193017575995e-66,-151.7583157197555
kpread.cn,2.449331204833786e-31,-70.48432287314282
kpread.com,2.97741489415675e-42,-95.61751846689792
aline.com,5.066053871078662e-53,-120.41444774331255
aline.net,7.848746401615773e-53,-119.97665610370424
aline.nl,2.1284923784844142e-42,-95.95315998016821
aline.xyz,6.65447929871692e-47,-106.32620916405031
aline.fr,9.201470017814796e-42,-94.48921064991403
aline.pl,2.603396218763348e-41,-93.44917198212917
aline.uk,3.079500419012621e-48,-109.3993170815041
aline.de,7.662488089572916e-52,-117.69808808880799
aline.cn,4.167522590201878e-42,-95.28125214955746
aline.jp,1.939145521247836e-43,-98.34891157566166
aline.it,4.759165868083713e-48,-108.96401204862434
aline.org,1.6028539779696952e-50,-114.65746887319371
aline.au,2.4873202587562575e-55,-125.73097418501905
aline.io,2.4873202587562575e-55,-125.73097418501905
aline.info,2.0807080038281984e-61,-139.72498245038602
aline.ru,5.393382754578085e-52,-118.04925204937493
bayint.com,5.839543170845841e-43,-97.24650642913373
abelym.com,3.956532085969121e-48,-109.14871655799486
borats.com,1.034542673310641e-42,-96.67461443821777
cargodp.com,2.38036167970245e-47,-107.35424692832093
bamting.com,3.2303716123328678e-49,-111.6540723758336
bamting.net,2.867010682017248e-47,-107.16822945797401
alenik.com,8.329585450638825e-57,-129.12753661154989
alenik.ru,3.198734310919728e-53,-120.87425472495809
conles.com,3.733206298888446e-44,-99.99647662976746
conles.de,1.251576311229206e-44,-101.08934028589488
bwcrd.cn,2.5647214377073665e-16,-35.89951161646322
fsmotel.com,4.325040507510812e-46,-104.45449277148766
lowsite.com,1.5325193496834424e-57,-130.82043728569124
covine.com,7.094723274200054e-53,-120.07765862176468
covine.au,3.483352009130918e-55,-125.39418506347118
fitsla.com,2.7240335410121366e-43,-98.00904529738561
admsel.ru,4.957160947377997e-46,-104.31808109050829
realdv.com,7.51602481925118e-43,-96.99412161500938
realdv.net,4.735406596668671e-42,-95.15350631232997
realdv.info,2.057966403616596e-52,-119.01270652318505
bermida.nl,5.589504438431754e-44,-99.59285345994411
ampecs.com,2.611144166778804e-43,-98.05137049539279
dormitz.com,1.7429727150557147e-47,-107.66590725831757
dormitz.de,2.2750070890873683e-45,-102.79434601625164
brunity.org,6.1296451784542605e-46,-104.10577741225028
chrfy.com,1.9724982531595257e-28,-63.79308171569298
aidcen.com,1.8504035205126727e-52,-119.11902110118864
ahwits.cn,3.973390074605745e-32,-72.30310332242075
envilr.com,4.374925914063149e-46,-104.44302469198833
ronitz.net,1.152727702941669e-45,-103.47419813530703
ronitz.com,3.138918410902888e-46,-104.7750359922707
ronitz.nl,3.126068807209884e-35,-79.450702011771
inoted.ru,2.1826334238796946e-53,-121.25647778831407
darnel.com,1.245949499751374e-44,-101.09384620208867
darnel.net,4.626129011838096e-45,-102.08460873289013
darnel.xyz,1.6366081696594735e-38,-87.00560762282642
darnel.de,6.716034708954471e-43,-97.10666109144279
darnel.org,6.796676544293507e-45,-101.69989543551027
darnel.info,8.822949238991912e-56,-126.76740901270259
andmile.it,7.961650547450751e-51,-115.35720340912778
darnel.ru,2.515686795110138e-44,-100.39119824589909
andmile.com,8.475046193825778e-56,-126.80763910381599
darnel.cn,1.0249639697098336e-33,-75.96065060833357
cofstr.com,6.358037586615347e-33,-74.13558829462816
cmonv.com,4.553570843840834e-35,-79.07456652877976
cmonv.org,9.604726317241951e-34,-76.02563785976311
alemir.com,2.1056438938812395e-54,-123.5949737134887
alemir.de,4.821749457857893e-53,-120.46387310841345
ardinv.com,1.3787309092435282e-46,-105.59775083265994
banlis.com,5.564218632501461e-44,-99.59738752432561
antric.net,2.900189645787321e-44,-100.24896796178467
antric.com,4.5185172699571036e-46,-104.41073037531818
antric.de,1.0056228664080888e-43,-99.00555188163929
baozue.com,2.4840051525003876e-56,-128.03489296932196
afilet.com,9.920376431815644e-55,-124.34758924734008
adnsur.com,2.2756047225925205e-45,-102.79408335552235
adnsur.info,1.004974892813107e-56,-128.9398026487431
ceramist.com,2.9313539135331976e-56,-127.86930080483658
ceramist.de,8.785712473489575e-56,-126.7716383881789
ceramist.nl,1.8388903247027963e-45,-103.00716687944036
ceramist.jp,1.2926743408764007e-47,-107.96478616585793
ceramist.net,6.780848249620839e-56,-127.03066300297638
ceramist.cn,2.4114397449005667e-45,-102.73610521108148
ceramist.pl,5.414689912270761e-45,-101.92721357050405
adinel.nl,9.114335375044728e-45,-101.40648069477885
ceramist.ru,5.884852544923573e-54,-122.56721333736789
adinel.com,9.051819861450796e-55,-124.43921428751342
alifdev.com,1.6146716698042094e-58,-133.0708037580792
midplate.com,2.3153321221480385e-57,-130.40779715812184
beyouni.com,2.1810426815351874e-60,-137.3753025229058
chrique.com,6.244545180444296e-54,-122.50788671014554
bdituan.com,5.372485512284936e-53,-120.35571927579663
brmedia.uk,1.9643052990799615e-46,-105.24377563227783
brmedia.de,4.887632378797051e-50,-113.54254663958173
brmedia.xyz,4.2446589285669396e-45,-102.17066771482405
brmedia.com,3.2314580647386447e-51,-116.25890629408629
brmedia.nl,1.3576906280950601e-40,-91.79761853094195
brmedia.net,5.006440022752748e-51,-115.82111465447798
brmedia.ru,3.4402496779594673e-50,-113.89371060014867
brmedia.cn,2.6583164780324216e-40,-91.1257107003312
brmedia.fr,5.8692949686670975e-40,-90.33366920068777
brmedia.au,1.5865743464813066e-53,-121.57543273579279
childent.com,4.638043280770193e-47,-106.68720680015583
aprimex.net,1.8941521783733275e-56,-128.30599386852037
aprimex.com,9.19301117924806e-56,-126.72632166672476
aprimex.org,8.265377185684629e-57,-129.13527493392746
aprimex.fr,1.0533650570782332e-45,-103.56433932877553
carnut.com,6.095795164647983e-45,-101.808729968512
carnut.de,1.8270023065667163e-44,-100.71106755185431
carnut.info,1.153750667688805e-55,-126.4991620291259
carnut.org,8.887810513958532e-45,-101.43164845193358
carnut.net,1.410087733910958e-44,-100.9700921666518
alterin.net,1.3990020853003578e-57,-130.91159111441343
alterin.info,1.1589887604764164e-67,-154.12565336389494
alterin.com,1.9555599073111541e-56,-128.27408865763158
alterin.it,2.650934076383476e-54,-123.36468296213326
bewola.de,2.3685305552208105e-51,-116.56956999873466
animer.com,1.7207065206429996e-54,-123.79686004737941
animer.net,2.3534095222635445e-54,-123.48372988446596
animer.de,3.940274876085421e-53,-120.66575944230416
animer.io,9.084180593225223e-60,-135.9485710752332
animer.cn,1.4155165891199873e-43,-98.66366445362432
animer.pl,2.880958156105609e-43,-97.95303606683396
animer.jp,1.5368241893063243e-45,-103.18661111233536
animer.ru,7.8790759297673205e-56,-126.8805545784692
animer.org,5.853936560516314e-55,-124.87506576340785
animer.info,7.599153025029395e-66,-149.94257934060016
softza.com,1.8865921788879924e-44,-100.6789719701252
belodi.com,4.310823565968205e-53,-120.57588096023149
belodi.de,6.520190087013137e-52,-117.85952130572693
bdrose.com,1.2650163065550093e-44,-101.07865907908429
bdrose.net,1.9598670753860085e-44,-100.64086743947598
bdrose.cn,1.0406490275673357e-33,-75.9454634853292
badpig.com,2.9394773408327116e-46,-104.84068248740637
badpig.fr,1.601691176684598e-34,-77.81683310533973
badpig.cn,2.4181223755322425e-35,-79.70748689365126
foresnt.com,5.464003832347758e-46,-104.2207324540765
dhartis.com,2.793737069986493e-45,-102.58894903355578
contg.com,2.626225959710454e-35,-79.62493043550299
contg.ru,8.723246049663627e-32,-71.51673155375589
ambinet.net,4.519561252531e-56,-127.43635028655794
